Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wohnungen nach Fläche der Wohnung (20 m²-Intervalle) und Zahl der Wohnungen im Gebäude (3 Klassen) für Schleswig-Holstein (Bundesland), Hamburg (Bundesland) und weitere Orte ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auszählungsergebnis aus der Gebäude- und Wohnungszählung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regionale Einheiten;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;1 Wohnung;1 Wohnung;1 Wohnung;1 Wohnung;1 Wohnung;1 Wohnung;1 Wohnung;1 Wohnung;1 Wohnung;1 Wohnung;1 Wohnung;2 Wohnungen;2 Wohnungen;2 Wohnungen;2 Wohnungen;2 Wohnungen;2 Wohnungen;2 Wohnungen;2 Wohnungen;2 Wohnungen;2 Wohnungen;2 Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen
Regionale Einheiten;Insgesamt;Unter 40;40 - 59;60 - 79;80 - 99;100 - 119;120 - 139;140 - 159;160 - 179;180 - 199;200 und mehr;Insgesamt;Unter 40;40 - 59;60 - 79;80 - 99;100 - 119;120 - 139;140 - 159;160 - 179;180 - 199;200 und mehr;Insgesamt;Unter 40;40 - 59;60 - 79;80 - 99;100 - 119;120 - 139;140 - 159;160 - 179;180 - 199;200 und mehr;Insgesamt;Unter 40;40 - 59;60 - 79;80 - 99;100 - 119;120 - 139;140 - 159;160 - 179;180 - 199;200 und mehr
01 Schleswig-Holstein (Bundesland);1417948;74746;247633;307939;228925;195388;171629;89271;40663;23844;37910;621286;2193;15886;48880;107420;144341;142376;75705;34307;19703;30475;164436;4648;22382;37501;36585;25508;17790;8516;3925;2719;4862;632226;67905;209365;221558;84920;25539;11463;5050;2431;1422;2573
02 Hamburg (Bundesland);905782;75004;265890;272791;126494;62046;47815;23172;11934;7013;13623;144284;476;4705;16176;25500;30188;30179;15335;7801;4404;9520;40388;1697;7449;8393;7995;5891;4194;2072;835;675;1187;721110;72831;253736;248222;92999;25967;13442;5765;3298;1934;2916
03 Niedersachsen (Bundesland);3816626;135701;493010;778496;636419;535634;510816;315581;154922;97019;159028;1618120;4012;25959;83058;207044;326637;383903;254419;126924;79278;126886;664423;8914;59243;142450;159652;114881;83268;41085;19392;12731;22807;1534083;122775;407808;552988;269723;94116;43645;20077;8606;5010;9335
04 Bremen (Bundesland);347340;24535;85568;97649;51525;34148;27731;12767;5472;3038;4907;91828;317;1758;6336;16853;22488;22504;10495;4448;2494;4135;28064;824;5282;7524;6310;3717;2239;1024;464;286;394;227448;23394;78528;83789;28362;7943;2988;1248;560;258;378
05 Nordrhein-Westfalen (Bundesland);8719851;413465;1556598;2241788;1569308;1015767;886085;481273;220559;129606;205402;2364319;3981;32564;118868;289414;508316;625823;364105;166426;98276;156546;1316250;19925;148312;331096;312769;204171;144640;70594;33139;20135;31469;5039282;389559;1375722;1791824;967125;303280;115622;46574;20994;11195;17387
06 Hessen (Bundesland);2925152;135206;431212;650737;531986;372199;329491;202595;100401;65539;105786;847675;2179;12176;42479;100748;149835;200527;142490;72214;47239;77788;600918;8593;51132;126041;145453;103986;76673;38434;18616;12413;19577;1476559;124434;367904;482217;285785;118378;52291;21671;9571;5887;8421
07 Rheinland-Pfalz (Bundesland);2002890;79051;219658;368640;363190;281553;282169;181337;86315;53728;87249;838958;1978;12309;43202;103688;149612;204019;143035;68606;42905;69604;380117;6292;38388;78782;83954;62066;49115;26988;12995;8161;13376;783815;70781;168961;246656;175548;69875;29035;11314;4714;2662;4269
08 Baden-Württemberg (Bundesland);5049037;237274;669437;1122222;1013665;685162;567192;348751;161486;97576;146272;1448374;3306;19284;76094;178546;268888;355018;250290;116770;71123;109055;1033833;24205;105518;235860;240453;168310;119432;64508;30404;18652;26491;2566830;209763;544635;810268;594666;247964;92742;33953;14312;7801;10726
09 Bayern (Bundesland);6058211;361230;856561;1259228;1073084;782306;708638;453002;204131;130285;229746;1987393;5106;28069;95917;224656;360681;486052;348797;157909;100990;179216;1131965;18592;89860;223760;288343;210436;140196;70883;31410;21202;37283;2938853;337532;738632;939551;560085;211189;82390;33322;14812;8093;13247
10 Saarland (Bundesland);503323;16463;47092;94459;96828;73695;73481;45505;21626;13444;20730;209103;343;2119;9937;26586;38793;51796;35194;17138;10610;16587;131152;1303;10681;32454;33479;20694;15316;7955;3560;2328;3382;163068;14817;34292;52068;36763;14208;6369;2356;928;506;761
11 Berlin (Bundesland);1868905;186753;530444;583089;285192;131895;73000;34710;17205;9875;16742;158691;514;4103;14263;30228;38900;32867;16008;7728;4795;9285;34916;736;4037;8783;8657;5345;3070;1684;822;533;1249;1675298;185503;522304;560043;246307;87650;37063;17018;8655;4547;6208
12 Brandenburg (Bundesland);1275510;68802;307019;321401;189176;161655;124347;48846;22787;13249;18228;487470;3104;18039;52949;97667;123397;105117;41554;19247;11225;15171;135179;3617;19893;36479;32755;19813;11964;4786;2337;1436;2099;652861;62081;269087;231973;58754;18445;7266;2506;1203;588;958
13 Mecklenburg-Vorpommern (Bundesland);877014;65415;240051;233266;108222;98030;73018;27927;12351;7520;11214;279710;1510;10114;29106;54344;74733;61105;23410;10177;6253;8958;78129;3010;12889;19994;16769;11485;7510;2828;1394;878;1372;519175;60895;217048;184166;37109;11812;4403;1689;780;389;884
14 Sachsen (Bundesland);2325844;161353;698420;684793;332677;206250;136429;51636;22387;13457;18442;484281;2894;21487;63940;103406;119081;97675;36922;15755;9691;13430;271647;8289;54358;82629;60701;32333;18460;7157;3171;2020;2529;1569916;150170;622575;538224;168570;54836;20294;7557;3461;1746;2483
15 Sachsen-Anhalt (Bundesland);1289856;72745;358600;335499;195253;145067;101854;38311;17112;10496;14919;402095;1788;14997;48652;90289;102460;80724;30148;13416;8167;11454;147357;3950;24625;41237;34740;20214;12329;4620;2145;1481;2016;740404;67007;318978;245610;70224;22393;8801;3543;1551;848;1449
16 Thüringen (Bundesland);1162028;69318;281541;311145;185491;132399;98084;39405;17889;11104;15652;346457;1759;11937;39292;73041;83531;73111;29819;13538;8560;11869;192557;5026;33119;54557;45056;25394;15735;6269;2857;1895;2649;623014;62533;236485;217296;67394;23474;9238;3317;1494;649;1134
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bei den ausgewiesenen Wohnungszahlen sind gewerblich genutzte Wohnungen und Wohnungen in bewohnten Unterkünften nicht, Diplomatenwohnungen/Wohnungen ausländischer Streitkräfte nur bei alleiniger Auswertung nach Art des Gebäudes berücksichtigt.
Die relativen Ergebnisse beziehen sich auf die Gesamtzahl der Wohnungen der jeweiligen regionalen Einheit je betrachtetem Wohnungsmerkmal. Die relativen Werte wurden durch Division von Ergebnissen nach Durchführung der Geheimhaltung errechnet.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
© Statistische Ämter des Bundes und der Länder, 2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vervielfältigung und Verbreitung mit Quellenangabe gestattet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
